Country,1980,1985,1990,1995,2000,2005,2010,2015,2016,2017
 Afghanistan,,,,,,,1.43,0.58,0.6,0.62
 Albania,,,,,,5.04,11.88,11.28,11.27,11.3
 Algeria,,,,,,0.11,2.11,2.77,3.07,
 Argentina,,,,3.95,6.58,3.14,4.83,6.35,5.98,6.98
 Australia,38.06,42.63,45.2,54.23,71.15,100.7,109.9,120.14,122.32,121.71
European Union Austria,,,,41.3,45.28,51.72,54.36,50.21,50.42,49.21
 Bangladesh,,,,,,7.8,8.47,7.73,7.65,7.99
European Union Belgium,31.96,28.23,34.96,36.73,40.5,43.09,52.71,59.24,59.53,60.41
 Brazil,,,,11.24,12.61,12.27,21.64,24.44,22.78,24.69
European Union Bulgaria,,,,0.59,2.25,14.95,25.96,21.68,20.93,20.94
 Cameroon,,,,,,1.95,3.38,3.71,3.56,3.7
 Canada,46.62,39.65,53.8,57.06,59.45,70.56,92.44,97.49,100.66,100.02
 Central African Republic,,,,,,2.34,3.11,4.76,5.09,4.58
 Chad,,,,,,0.81,1.28,2.54,3.01,2.87
 Chile,,,,,,26.22,32.34,40.92,42.23,43.69
 China,,,,,,,27.29,38.24,44.2,49.22
 Colombia,,,,,9.66,12.86,18.67,25.26,26.45,25.88
 Republic of the Congo,,,,,,0.72,1.27,4.58,4.6,4.22
 Costa Rica,,,,,,18.21,23.01,29.1,30.53,31.89
European Union Croatia,,,,,,30.75,41.88,38.5,35.31,34.13
European Union Cyprus,,,,62.87,77.74,89.46,118.27,127.74,121.24,109.48
European Union Czech Republic,,,,10.14,7.74,16.56,29,30.36,31.32,31.63
European Union Denmark,,,,74.11,85.6,111.79,135.29,119.09,119.17,117.14
 El Salvador,,,,,,20.87,23.09,25.75,26.25,29.5
European Union Estonia,,,,1.86,8.66,32.03,53.4,40.3,41.42,40.47
European Union Finland,25.93,32.14,42.34,34.66,31.65,46.42,61.12,66.69,67.12,67.2
European Union France,22.34,27.19,32.5,33.22,34.08,41.6,53.7,56.25,57.22,58.62
 North Macedonia,,,,,,8.15,18.08,22.43,23.11,24.48
European Union Germany,52.31,61,58.16,59.92,70.92,67.57,59.03,53.3,53.12,52.73
European Union Greece,,,,6.26,13.94,39.72,61.08,62.21,60.75,56.98
 Honduras,,,,,,17.14,24.82,29.14,29.59,29.2
 Hong Kong,,,34.49,41.21,57.9,54.93,59.23,67.09,67.63,70.56
European Union Hungary,,,18.12,6.02,5.9,23.3,39.46,21.29,20.25,18.77
 Iceland,16.76,33.3,45.19,69.14,87.46,103.39,107.16,82.88,,
 India,,,,,2.55,7.9,8.68,9.66,9.89,10.7
 Indonesia,,,,,,11.48,13.55,16.8,16.98,17.04
European Union Ireland,,,,,,81.2,112.23,56.46,52.26,47.75
 Israel,,,,34.5,36.39,37.55,39.56,40.85,41.29,42.07
European Union Italy,6.13,6.21,16.69,17.48,22.69,32.96,43.63,41.87,41.51,41.31
 Japan,46.61,53.13,69.5,71.37,70.99,60.37,60.72,56.96,57.24,57.04
 Kazakhstan,,,,,,9.02,10.26,10.72,9.29,9.09
 South Korea,17,27.83,40.79,46.78,50.59,66.14,76.48,88.1,92.85,94.19
European Union Latvia,,,,1.36,5.4,28.4,49.8,24.5,23.71,22.34
 Lesotho,,,,,,3.69,6.1,10.27,10.54,11.37
European Union Lithuania,,,,1.35,1.51,13.77,29.65,22.16,22.77,22.62
European Union Luxembourg,,,,,,45.48,57.12,60.07,65.29,66.8
European Union Malta,,,,17.27,23.52,44.51,59.05,53.03,51.86,50.41
 Mauritius,,,,,,,32.25,33.34,33.05,32.23
 Mexico,,,,11.76,7.86,10.96,13.24,15.24,15.96,16.12
 Morocco,,,,,,19.48,28.3,30.64,30.47,29.63
 Myanmar,,,,,,0.32,0.45,1.49,2,1.92
   Nepal,,,,,,10.74,25.66,30.25,38.81,36.63
European Union Netherlands,,,50.87,61.81,87.82,108,118.74,110.34,108.29,105.53
 New Zealand,,,27.86,45.65,61.86,82.63,90.28,89.86,92.43,91.9
 Nicaragua,,,,,,14.18,14.74,20.33,22.75,23.73
 Norway,42.82,53.71,70.25,55.35,52.49,68.94,81.85,95.21,101.18,101.58
 Pakistan,,,,,,,4.38,3.1,3.41,3.59
 Peru,,,,,,6.87,10.2,15.08,14.96,15.28
European Union Poland,,,,2.25,7.15,15,34.17,36.04,36.67,35.04
European Union Portugal,9.98,12.08,15.14,28.33,58.8,79.88,90.67,76.7,72.41,69.42
European Union Romania,,,,,,8.6,19.28,15.15,14.83,14.19
 Russia,,,,,0.6,5.95,10.38,15.86,15.36,16.22
 Samoa,,,,8.02,13.07,16.5,18.36,17.83,18.88,19.9
 São Tomé and Príncipe,,,,,,,24.68,12.55,12.63,11.46
 Saudi Arabia,,,,,7.85,12.82,9.8,13.75,14.59,12.83
 Sierra Leone,,,,,,0.69,2.73,1.06,1.14,1.39
 Singapore,,,,31.51,37.1,43.31,47,58.07,58.5,58.64
European Union Slovakia,,,,3.65,4.25,12.28,24.78,34.82,38.01,40.54
European Union Slovenia,,,,,,18.76,30.36,27.62,27.31,26.97
 Solomon Islands,,,,,,3.12,6.04,7.35,8.28,7.51
 South Africa,,,,,,,40.17,36.45,34.18,33.19
European Union Spain,24.01,23.05,30.39,30.71,45.08,70.23,83.49,67.63,64.12,61.24
 Sri Lanka,,,,,,,22.37,10.55,11.89,
European Union Sweden,48.55,48.34,56.42,44.14,47.76,61.1,77.08,83.56,85.06,88.15
  Switzerland,,,,,103.43,111.71,111.53,123.79,126.34,127.72
 Tajikistan,,,,,,1.53,4.21,9.4,7.22,5.9
 Thailand,,,,,,45.08,59.27,80.77,79.03,78.03
 Turkey,,,0.12,0.89,4.02,7.17,16.06,17.8,17.59,17
 Ukraine,,,,0.24,0.63,7.81,19.42,8.8,6.86,5.84
 United Arab Emirates,,,,,,,28.13,25.16,27.19,24.02
European Union United Kingdom,29.87,41.9,57.51,57.91,62.91,85.82,93.67,85.55,86.25,86.35
 United States,49.39,53.43,60.24,64.19,69.92,91.46,90.71,78.46,78.77,77.66
 Vanuatu,,,,,,16.25,32.84,36.61,35.24,36
