Monaco,52.4,2016 est.
Japan,46.9,2016 est.
Germany,46.8,2016 est.
Saint Pierre and Miquelon,45.9,2016 est.
Virgin Islands of the U.S.,45.6,2016 est.
Italy,45.1,2016 est.
Greece,44.2,2016 est.
San Marino,44.2,2016 est.
Slovenia,44.1,2016 est.
Hong Kong,44,2016 est.
Isle of Man,43.9,2016 est.
Austria,43.8,2016 est.
Andorra,43.7,2016 est.
Guernsey,43.6,2016 est.
Saint Barthelemy,43.6,2016 est.
Lithuania,43.4,2016 est.
Latvia,43.3,2016 est.
Bermuda,43.2,2016 est.
Liechtenstein,42.9,2016 est.
Croatia,42.7,2016 est.
Netherlands,42.5,2016 est.
Bulgaria,42.4,2016 est.
Estonia,42.4,2016 est.
Finland,42.4,2016 est.
Serbia,42.3,2016 est.
Spain,42.3,2016 est.
Switzerland,42.2,2016 est.
Canada,42,2016 est.
Denmark,42,2016 est.
Hungary,41.8,2016 est.
Portugal,41.8,2016 est.
Bosnia and Herzegovina,41.7,2016 est.
Czech Republic,41.7,2016 est.
Malta,41.5,2016 est.
"Saint Helena, Ascension and Tristan da Cunha",41.5,2016 est.
Belgium,41.4,2016 est.
France,41.2,2016 est.
Korea (South),41.2,2016 est.
Sweden,41.2,2016 est.
Cuba,41.1,2016 est.
Romania,40.7,2016 est.
Sint Maarten,40.7,2016 est.
United Kingdom of Great Britain and Northern Ireland,40.5,2016 est.
Ukraine,40.4,2016 est.
Poland,40.3,2016 est.
Montenegro,40.2,2016 est.
Taiwan,40.2,2016 est.
Slovakia,40.1,2016 est.
Cayman Islands,39.9,2016 est.
Belarus,39.8,2016 est.
Puerto Rico,39.5,2016 est.
Russia,39.3,2016 est.
Luxembourg,39.2,2016 est.
Aruba,39.1,2016 est.
Norway,39.1,2016 est.
Macau,38.7,2016 est.
Australia,38.6,2016 est.
Jersey,38.5,2016 est.
Barbados,38.3,2016 est.
Georgia,38,2016 est.
United States of America,37.9,2016 est.
New Zealand,37.8,2016 est.
Faroe Islands,37.7,2016 est.
Macedonia,37.5,2016 est.
Thailand,37.2,2016 est.
China,37.1,2016 est.
Cyprus,36.4,2016 est.
Ireland,36.4,2016 est.
Iceland,36.3,2016 est.
Moldova,36.3,2016 est.
British Virgin Islands,36.2,2016 est.
Curacao,36,2016 est.
Cook Islands,35.9,2016 est.
Trinidad and Tobago,35.5,2016 est.
Seychelles,34.9,2016 est.
Mauritius,34.8,2016 est.
Uruguay,34.7,2016 est.
Anguilla,34.6,2016 est.
Armenia,34.6,2016 est.
Gibraltar,34.5,2016 est.
Saint Kitts and Nevis,34.5,2016 est.
Singapore,34.3,2016 est.
Saint Lucia,34.2,2016 est.
Chile,34,2016 est.
Greenland,33.8,2016 est.
Korea (North),33.8,2016 est.
Palau,33.3,2016 est.
Dominica,33,2016 est.
Qatar,33,2016 est.
Saint Vincent and the Grenadines,33,2016 est.
Turks and Caicos Islands,32.9,2016 est.
Northern Mariana Islands,32.7,2016 est.
Montserrat,32.6,2016 est.
Albania,32.5,2016 est.
Sri Lanka,32.5,2016 est.
Tunisia,32.4,2016 est.
Saint Martin,32.3,2016 est.
Bahrain,32.1,2016 est.
Bahamas,31.8,2016 est.
New Caledonia,31.7,2016 est.
Antigua and Barbuda,31.6,2016 est.
Brazil,31.6,2016 est.
Wallis and Futuna,31.6,2016 est.
Argentina,31.5,2016 est.
French Polynesia,31.5,2016 est.
Azerbaijan,30.9,2016 est.
Costa Rica,30.9,2016 est.
Grenada,30.9,2016 est.
Turkey,30.5,2016 est.
Guam,30.4,2016 est.
Kazakhstan,30.3,2016 est.
United Arab Emirates,30.3,2016 est.
Vietnam,30.1,2016 est.
Brunei,29.9,2016 est.
Indonesia,29.9,2016 est.
Lebanon,29.9,2016 est.
Israel,29.7,2016 est.
Colombia,29.6,2016 est.
Suriname,29.5,2016 est.
American Samoa,29.4,2016 est.
Iran,29.4,2016 est.
Kuwait,29.2,2016 est.
Morocco,28.9,2016 est.
Panama,28.9,2016 est.
Kosovo,28.7,2016 est.
Fiji,28.6,2016 est.
Myanmar (Burma),28.6,2016 est.
Libya,28.5,2016 est.
Malaysia,28.2,2016 est.
Uzbekistan,28.1,2016 est.
Mexico,28,2016 est.
Venezuela,28,2016 est.
Mongolia,27.9,2016 est.
Algeria,27.8,2016 est.
Dominican Republic,27.8,2016 est.
Maldives,27.8,2016 est.
Paraguay,27.8,2016 est.
Peru,27.7,2016 est.
India,27.6,2016 est.
Turkmenistan,27.5,2016 est.
Ecuador,27.4,2016 est.
Bhutan,27.2,2016 est.
Saudi Arabia,27.2,2016 est.
South Africa,26.8,2016 est.
El Salvador,26.6,2016 est.
Bangladesh,26.3,2016 est.
Kyrgyzstan,26.2,2016 est.
Nauru,26.1,2016 est.
Guyana,25.8,2016 est.
Jamaica,25.6,2016 est.
Tuvalu,25.5,2016 est.
Oman,25.4,2016 est.
Nicaragua,25.2,2016 est.
Cambodia,24.9,2016 est.
Cape Verde,24.9,2016 est.
Micronesia,24.7,2016 est.
Kiribati,24.3,2016 est.
Tajikistan,24.2,2016 est.
Syria,24.1,2016 est.
Bolivia,24,2016 est.
Lesotho,24,2016 est.
Samoa,23.9,2016 est.
Egypt,23.8,2016 est.
Nepal,23.6,2016 est.
Djibouti,23.5,2016 est.
Pakistan,23.4,2016 est.
Philippines,23.4,2016 est.
Botswana,23.2,2016 est.
Papua New Guinea,22.9,2016 est.
Laos,22.7,2016 est.
Marshall Islands,22.7,2016 est.
Haiti,22.6,2016 est.
Honduras,22.6,2016 est.
Tonga,22.6,2016 est.
Belize,22.4,2016 est.
Jordan,22.3,2016 est.
Solomon Islands,22.2,2016 est.
Guatemala,21.7,2016 est.
Vanuatu,21.7,2016 est.
Swaziland,21.4,2016 est.
Western Sahara,21.1,2016 est.
Ghana,21,2016 est.
Namibia,21,2016 est.
Côte d'Ivoire (Ivory Coast),20.7,2016 est.
Gambia,20.7,2016 est.
Zimbabwe,20.6,2016 est.
Mauritania,20.3,2016 est.
Guinea-Bissau,20,2016 est.
Iraq,19.9,2016 est.
Congo (Republic),19.7,2016 est.
Togo,19.7,2016 est.
Central African Republic,19.6,2016 est.
Comoros,19.6,2016 est.
Equatorial Guinea,19.6,2016 est.
Sudan,19.6,2016 est.
Kenya,19.5,2016 est.
Madagascar,19.5,2016 est.
Eritrea,19.4,2016 est.
Palestinian Territories,19.2,2016 est.
Yemen,19.2,2016 est.
Rwanda,19,2016 est.
Sierra Leone,19,2016 est.
East Timor,18.8,2016 est.
Guinea,18.8,2016 est.
Senegal,18.7,2016 est.
Afghanistan,18.6,2016 est.
Gabon,18.6,2016 est.
Cameroon,18.5,2016 est.
Congo (Democratic Republic),18.4,2016 est.
Liberia,18.3,2016 est.
Nigeria,18.3,2016 est.
Angola,18.2,2016 est.
São Tomé and Príncipe,18.2,2016 est.
Benin,18,2016 est.
Somalia,17.9,2016 est.
Ethiopia,17.8,2016 est.
Chad,17.6,2016 est.
Tanzania,17.6,2016 est.
Burkina Faso,17.2,2016 est.
Mozambique,17.1,2016 est.
South Sudan,17.1,2016 est.
Burundi,17,2016 est.
Zambia,16.7,2016 est.
Malawi,16.5,2016 est.
Mali,16.2,2016 est.
Uganda,15.7,2016 est.
Niger,15.3,2016 est.
World,30.1,2016 est.
