country,region,GDP per capita usd,population,suicides/100k pop,gini,HDI,median_age,life_expectancy,household_debt_percent_GDP,happiness
Antigua and Barbuda,LATIN AMER. & CARIB,14853,91889,1.088269543,,0.775,31.6,76.483,,
Argentina,LATIN AMER. & CARIB,14981,39699624,7.740627468,42.7,0.822,31.5,76.068,6.35,6.574
Armenia,ASIA,3775,2795335,2.64726768,32.4,0.748,34.6,74.467,53.7,4.35
Australia,GLOBAL WEST,60656,22240785,13.61013112,34.7,0.936,38.6,82.4,120.14,7.284
Austria,GLOBAL WEST,46484,8219386,15.22011498,30.5,0.903,43.8,81.1902439,50.21,7.2
Belgium,GLOBAL WEST,42830,10624356,17.57282983,28.1,0.913,41.4,80.99268293,59.24,6.937
Belize,LATIN AMER. & CARIB,5561,319835,8.129191614,53.3,0.709,22.4,74.034,94.51,
Brazil,LATIN AMER. & CARIB,9431,191087085,5.841839076,51.3,0.757,31.6,74.994,24.44,6.983
Chile,LATIN AMER. & CARIB,14729,16565725,11.09519807,47.7,0.84,34,79.646,40.92,6.67
Colombia,LATIN AMER. & CARIB,6552,44490427,5.241577025,51.1,0.742,29.6,76.531,25.26,6.477
Croatia,EASTERN EUROPE,12351,4001669,18.46729452,32.2,0.827,42.7,77.27560976,38.5,5.759
Cuba,LATIN AMER. & CARIB,8044,10832068,13.94932159,,0.772,41.1,78.561,21.5,
Cyprus,MIDDLE EAST,24718,796037,5.024892059,35.6,0.86,36.4,80.35,127.74,5.689
Czech Republic,EASTERN EUROPE,18703,9989325,13.88482205,25.9,0.882,41.7,78.57804878,30.36,6.505
Denmark,GLOBAL WEST,55972,5383060,10.47731216,28.5,0.926,42,80.70243902,119.09,7.527
Ecuador,LATIN AMER. & CARIB,6832,14534024,7.382676676,46.5,0.743,27.4,76.143,8.169,5.975
Estonia,EASTERN EUROPE,18149,1243450,15.68217459,34.6,0.866,42.4,77.5902439,40.3,5.429
Finland,GLOBAL WEST,44862,5181797,14.10707521,26.8,0.915,42.4,81.4804878,66.69,7.406
Georgia,ASIA,4046,3458400,5.551700208,38.5,0.771,38,72.973,36.7,4.297
Germany,GLOBAL WEST,43201,78136683,12.9107093,31.4,0.933,46.8,80.64146341,53.3,6.75
Greece,GLOBAL WEST,18927,10331286,5.120369333,35.8,0.866,44.2,81.03658537,62.21,4.857
Grenada,LATIN AMER. & CARIB,10290,96892,0,,0.767,30.9,72.445,70.11,
Guatemala,LATIN AMER. & CARIB,4472,14258397,3.464625091,48.7,0.645,21.7,73.25,23.76,6.123
Hungary,EASTERN EUROPE,13087,9389519,19.89452282,30.9,0.834,41.8,75.56829268,21.29,4.8
Iceland,GLOBAL WEST,54909,308554,12.96369517,25.6,0.927,36.3,82.46829268,82.88,7.561
Israel,MIDDLE EAST,39793,7516180,4.550183737,41.4,0.901,29.7,82.05121951,40.85,7.278
Italy,GLOBAL WEST,31537,58117697,6.861937423,34.7,0.876,45.1,82.54390244,41.87,5.948
Japan,ASIA,36510,120376310,19.18317649,32.1,0.905,46.9,83.79390244,56.96,5.987
Kazakhstan,ASIA,11784,15646752,18.35524715,26.5,0.797,30.3,72,10.72,5.855
Kyrgyzstan,ASIA,1285,5195827,8.025671371,29,0.666,26.2,73.51484485,58.79,5.286
Latvia,EASTERN EUROPE,14382,1875522,20.63425542,35.1,0.841,43.3,74.4804878,24.5,5.098
Lithuania,EASTERN EUROPE,15073,2753926,32.53536951,37.7,0.852,43.4,74.32195122,22.16,5.833
Luxembourg,GLOBAL WEST,107456,537748,11.90148545,31.2,0.899,39.2,82.29268293,60.07,6.946
Malta,GLOBAL WEST,25750,410637,8.279818915,29.4,0.871,41.5,81.89756098,53.03,6.302
Mauritius,SUB-SAHARAN AFRICA,10125,1154848,9.005514146,35.8,0.782,34.8,74.35317073,33.34,5.477
Mexico,LATIN AMER. & CARIB,10228,114357884,5.451307581,48.2,0.767,28,74.904,15.24,7.187
Netherlands,GLOBAL WEST,47206,16057342,11.66444608,28.6,0.926,42.5,81.5097561,110.34,7.378
Nicaragua,LATIN AMER. & CARIB,2303,5476483,5.751866663,46.6,0.652,25.2,73.649,20.33,5.828
Norway,GLOBAL WEST,79187,4882909,12.0829612,26.8,0.948,39.1,82.30487805,95.21,7.522
Panama,LATIN AMER. & CARIB,15158,3583382,3.069725751,51,0.781,28.9,77.776,41,6.786
Poland,EASTERN EUROPE,13228,36086575,15.0194359,32.1,0.855,40.3,77.45121951,36.04,5.791
Puerto Rico,LATIN AMER. & CARIB,29728,3469521,6.513867476,,,39.5,79.3534878,51.6,
Qatar,MIDDLE EAST,69937,2354147,2.803563244,41.1,0.854,33,79.758,52.7,6.611
Romania,EASTERN EUROPE,9431,18863927,11.81090236,27.5,0.805,40.7,75.01219512,15.15,5.124
Russia,EASTERN EUROPE,9987,137018943,18.56093723,37.7,0.813,39.3,71.18341463,15.86,5.716
Saint Vincent and Grenadines,LATIN AMER. & CARIB,7496,100948,2.971827079,,0.72,33,74.8647344,73.5,
Serbia,EASTERN EUROPE,5492,6766406,15.69518589,29.1,0.78,42.3,75.28780488,20.1,5.123
Seychelles,SUB-SAHARAN AFRICA,16005,85949,8.144364681,46.8,0.791,34.9,74.29512195,63.16,
Singapore,ASIA,81766,3719115,8.846190559,45.8,0.929,34.3,82.74390244,58.07,6.798
Slovenia,EASTERN EUROPE,22036,1954632,21.5897417,25.7,0.889,44.1,80.77560976,27.62,5.848
South Africa,SUB-SAHARAN AFRICA,6403,49627460,0.971236489,63.4,0.692,26.8,62.649,36.45,4.642
South Korea,ASIA,28410,48671752,27.75737352,31.6,0.898,41.2,82.02439024,88.1,5.984
Spain,GLOBAL WEST,27108,44186528,8.156332174,36,0.885,42.3,82.83170732,67.63,6.329
Sweden,GLOBAL WEST,54629,9114524,12.96831299,27.2,0.929,41.2,82.20487805,83.56,7.364
Switzerland,GLOBAL WEST,86068,7892502,13.59518186,32.5,0.942,42.2,82.89756098,123.79,7.587
Thailand,ASIA,6552,61261276,6.864042466,37.8,0.741,37.2,76.091,80.77,6.455
Turkey,MIDDLE EAST,11961,71880464,2.131316236,41.2,0.783,30.5,76.532,17.8,5.332
Turkmenistan,ASIA,7326,4886514,2.72177671,40.8,0.701,27.5,67.704,32,5.548
Ukraine,EASTERN EUROPE,2256,40345446,18.77287464,25.5,0.743,40.4,71.1895122,8.8,4.681
United Kingdom,GLOBAL WEST,47240,61082942,8.038250679,34.1,0.918,40.5,80.95609756,85.55,6.867
United States,GLOBAL WEST,60387,300078511,14.72581287,41,0.92,37.9,78.6902439,78.46,7.119
Uruguay,LATIN AMER. & CARIB,16696,3190795,19.7442957,41.7,0.8,34.7,77.369,53,6.485
Namibia,,,,,61,0.642,21,62.119,,
Botswana,,,,,60.5,0.706,23.2,67.338,,4.332
Suriname,LATIN AMER. & CARIB    ,10530,497701,25.71825253,57.6,0.722,29.5,71.249,75.18,6.269
Zambia,,,,,57.1,0.583,16.7,61.737,,5.129
Central African Republic,,,,,56.2,0.357,19.6,50.881,4.76,3.678
Lesotho,,,,,54.2,0.511,24,51.038,10.27,4.898
Swaziland,,,,,51.5,,21.4,,,4.867
Guinea-Bissau,,,,,50.7,0.449,20,56.959,,
Rwanda,,,,,50.4,0.51,19,67.45,36.5,3.465
Honduras,,,,,50.1,0.609,22.6,74.495,29.14,4.788
Congo,,,,,48.9,0.613,19.7,63.097,4.58,
Kenya,,,,,48.5,0.578,19.5,64.798,,4.419
Costa Rica,LATIN AMER. & CARIB    ,11485,4403674,6.085827425,48.2,0.788,30.9,79.565,29.1,7.226
Paraguay,LATIN AMER. & CARIB    ,5254,5877594,6.448216736,48,0.702,27.8,73.662,,5.878
Benin,,,,,47.8,0.508,18,60.608,,3.34
The Gambia,,,,,47.3,,,,,
Cabo Verde,,,,,47.2,0.647,,72.117,,
Venezuela,,,,,46.9,0.775,28,72.584,,6.81
Cameroon,,,,,46.5,0.548,18.5,57.583,3.71,4.252
Malaysia,,,,,46.3,0.795,28.2,75.461,,5.77
Malawi,,,,,46.1,0.47,16.5,61.953,,4.292
Bolivia,,,,,45.8,0.681,24,70.277,,5.89
Mozambique,,,,,45.6,0.432,17.1,57.206,,4.971
Jamaica,LATIN AMER. & CARIB    ,5552,2601037,1.922310217,45.5,0.73,25.6,74.098,,5.709
Comoros,,,,,45,0.502,19.6,63.471,,3.956
Dominican Republic,,,,,44.9,0.729,27.8,73.241,,4.885
Guyana,LATIN AMER. & CARIB    ,4372,683867,30.70772533,44.5,0.651,25.8,69.262,,
Peru,,,,,44.3,0.745,27.7,75.792,15.08,5.824
Djibouti,,,,,44.1,0.47,23.5,64.136,,4.369
Chad,,,,,43.3,0.407,17.6,53.137,2.54,3.667
Zimbabwe,,,,,43.2,0.529,20.6,59.534,,4.61
Togo,,,,,43,0.495,19.7,59.927,,2.839
Nigeria,,,,,43,0.527,18.3,53.112,,5.268
Angola,,,,,42.7,0.572,18.2,59.398,,4.033
Madagascar,,,,,42.7,0.514,19.5,65.539,,3.681
St. Lucia,,,,,42.6,,,75.596,,
China,,,,,42.2,0.743,37.1,75.928,38.24,5.14
Gabon,,,,,42.2,0.694,18.6,64.913,,3.896
Ghana,,,,,42.2,0.585,21,62.772,,4.633
Congo. Dem,,,,,42.1,0.444,18.4,59.254,,
Samoa,,,,,42,0.706,23.9,72.73,17.83,
Papua New Guinea,,,,,41.8,0.542,22.9,63.466,,
Ivory Coast,,,,,41.7,0.478,20.7,56.065,,3.655
Uganda,,,,,41,0.505,15.7,61.373,,3.931
Haiti,,,,,40.9,0.493,22.6,62.485,,4.518
El Salvador,LATIN AMER. & CARIB    ,3965,5696329,6.776293996,40.8,0.674,26.6,72.412,25.75,6.13
Morocco,,,,,40.7,0.655,28.9,75.726,30.64,5.013
Trinidad and Tobago,,,,,40.3,0.783,35.5,72.941,,6.168
Senegal,,,,,40.3,0.492,18.7,66.747,,3.904
Philippines,ASIA                           ,2662,84201767,2.908490032,40.1,0.693,23.4,70.644,,5.073
Indonesia,,,,,39.5,0.686,29.9,70.768,16.8,5.399
Sri Lanka,,,,,39.2,0.766,32.5,76.316,10.55,4.271
Burundi,,,,,39.2,0.418,17,60.123,,2.905
Tuvalu,,,,,39.1,..,25.5,,,
Bhutan,,,,,38.8,0.603,27.2,70.419,,5.253
Iran,,,,,38.8,0.789,29.4,75.796,,4.686
Myanmar,,,,,38.1,0.569,,65.81,1.49,4.307
Tanzania,,,,,37.8,0.528,17.6,63.111,,3.781
Tonga,,,,,37.5,0.721,22.6,70.517,,
Bulgaria,EASTERN EUROPE                     ,8241,6883874,10.5173337,37.4,0.807,42.4,74.61463415,21.68,4.218
Vanuatu,,,,,37.3,0.599,21.7,69.869,36.61,
Kiribati,,,,,37,0.621,24.3,67.291,,
Solomon Islands,,,,,37,0.546,22.2,72.173,7.35,
Yemen,,,,,36.7,0.483,19.2,66.085,,4.077
Fiji,OCEANIA                            ,5073,782939,4.087163879,36.4,0.738,28.6,67.103,,
Laos,,,,,36.4,0.593,22.7,66.546,,4.876
Tunisia,,,,,35.8,0.728,32.4,75.922,,4.739
Syria,,,,,35.8,0.538,24.1,69.908,,3.006
Portugal,WESTERN EUROPE                     ,23091,9944433,12.2882823,35.6,0.842,41.8,81.12439024,76.7,5.102
Macedonia,,,,,35.6,,37.5,,,5.007
Sudan,,,,,35.4,0.497,19.6,64.429,,4.55
Uzbekistan,,,,,35.3,0.698,28.1,70.928,,6.003
Burkina Faso,,,,,35.3,0.412,17.2,59.919,,3.587
India,,,,,35.2,0.627,27.6,68.607,9.66,4.565
Vietnam,,,,,34.8,0.684,30.1,75.11,,5.36
Tajikistan,,,,,34,0.645,24.2,70.137,9.4,4.786
Niger,,,,,34,0.347,15.3,60.631,,3.845
Canada,NORTHERN AMERICA                   ,55310,33314836,12.16875268,34,0.92,42,81.9,97.49,7.427
Sierra Leone,,,,,34,0.413,19,52.941,1.06,4.507
Bosnia and Herzegovina,EASTERN EUROPE                     ,5079,3654169,8.565558955,33.8,0.755,41.7,76.865,,4.949
Guinea,,,,,33.7,0.443,18.8,59.598,,3.656
Jordan,,,,,33.7,0.733,22.3,74.078,,5.192
Ethiopia,,,,,33.2,0.451,17.8,65.048,,4.512
Liberia,,,,,33.2,0.432,18.3,62.269,,4.571
Mali,,,,,33,0.418,16.2,57.509,,3.995
Nepal,,,,,32.8,0.566,23.6,69.515,30.25,4.514
Mauritania,,,,,32.4,0.514,20.3,63.936,,4.436
France,WESTERN EUROPE                     ,47318,60275954,14.73390201,32.3,0.898,41.2,82.32195122,56.25,6.575
Bangladesh,,,,,32.1,0.592,26.3,71.514,7.73,4.694
Mongolia,OCEANIA                            ,46198,4129770,12.42199929,32,0.737,27.9,69.111,,4.874
Montenegro,,,,,31.9,0.809,40.2,76.452,,5.192
Ireland,WESTERN EUROPE                     ,59634,4328043,11.22909361,31.9,0.929,36.4,81.45365854,56.46,6.94
Lebanon,,,,,31.8,0.752,29.9,78.768,,4.839
Azerbaijan,,,,,31.8,0.758,30.9,72.266,,5.212
Egypt,,,,,31.8,0.691,23.8,71.302,,4.194
São Tomé and Principe,,,,,30.8,,,,,
Pakistan,,,,,30.7,0.551,23.4,66.577,3.1,5.194
Timor-Leste,,,,,30.3,0.63,,68.459,,
Iraq,,,,,29.5,0.668,19.9,69.929,,4.677
Albania,,,,,29,0.776,32.5,78.025,11.28,4.959
Kyrgyz Republic,,,,,29,,,70.65121951,,
Algeria,,,,,27.6,0.749,27.8,76.09,2.77,5.605
Moldova,,,,,27,0.693,36.3,71.478,,5.889
Belarus,EASTERN EUROPE                     ,8849,8906977,19.54647463,26.7,0.805,39.8,73.62439024,,5.813
Slovakia,,,,,26.1,0.851,40.1,76.56341463,34.82,5.995
Afghanistan,,,,,,0.493,18.6,63.377,0.58,3.575
Andorra,,,,,,0.854,43.7,,,
Bahamas,LATIN AMER. & CARIB    ,30455,348959,1.432833084,57,0.807,31.8,73.088,,
Bahrain,MIDDLE EAST,27503,1213966,0.741371669,,0.832,32.1,76.762,,5.96
Barbados,LATIN AMER. & CARIB    ,17395,265165,0,,0.797,38.3,78.801,,
Brunei Darussalam,,,,,,0.852,,75.318,,
Cambodia,,,,,,0.571,24.9,68.637,,3.819
Dominica,,,,,,0.721,33,,,
Equatorial Guinea,,,,,,0.593,19.6,57.359,,
Eritrea,,,,,,0.433,19.4,64.664,,
Eswatini,,,,,,0.584,,55.359,,
Gambia,,,,,,0.457,20.7,,,
Hong Kong,,,,,,0.927,44,84.27804878,67.09,5.474
Kuwait,MIDDLE EAST,43774,3715284,1.830277309,,0.802,29.2,75.13,,6.295
Libya,,,,,,0.694,28.5,72.121,,5.754
Liechtenstein,,,,,,0.912,42.9,82.65609756,,
Maldives,WESTERN ASIA,8135,341018,0.586479306,38.4,0.71,27.8,77.691,,
Marshall Islands,,,,,,..,22.7,,,
Micronesia,,,,,,0.627,24.7,67.315,,
New Zealand,OCEANIA                            ,46198,4129770,12.42199929,40,0.914,37.8,81.45682927,89.86,7.286
Oman,MIDDLE EAST,22328,3631098,0.192779154,30.72,0.822,25.4,76.887,,6.853
Palau,,,,,,0.793,33.3,,,
"Palestine, State of",,,,,,0.687,,,,
Saint Kitts and Nevis,,,,,,0.773,34.5,,,
Saint Lucia,LATIN AMER. & CARIB    ,9372,165596,8.454310491,42.6,0.744,34.2,74.8647344,,
Sao Tome and Principe,,,,,,0.58,,69.377,,
Saudi Arabia,,,,,,0.854,27.2,74.651,13.75,6.411
South Sudan,,,,,,0.399,17.1,56.855,,
The former Yugoslav Republic of Macedonia,,,,,,0.754,,,,
United Arab Emirates,,,,,,0.86,30.3,77.285,25.16,6.901
North Korea,,,,,,..,33.8,71.481,,
Monaco,,,,,,..,52.4,,,
Nauru,,,,,,..,26.1,,,
San Marino,,,,,,..,44.2,,,
Somalia,,,,,,..,17.9,55.92,,
Saint Pierre and Miquelon,,,,,,,45.9,,,
Virgin Islands,,,,,,,45.6,79.16829268,,
Isle of Man,,,,,,,43.9,,,
Guernsey,,,,,,,43.6,,,
Saint Barthelemy,,,,,,,43.6,,,
Bermuda,,,,,,,43.2,81.01219512,,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,41.5,,,
Sint Maarten,,,,,,,40.7,,,
Taiwan,,,,,,,40.2,,,6.298
Cayman Islands,,,,,,,39.9,,,
Aruba,LATIN AMER. & CARIB    ,27066,95488,9.425268097,,,39.1,75.725,,
Macau,,,,,,,38.7,,,
Jersey,,,,,,,38.5,,,
Faroe Islands,,,,,,,37.7,81.94634146,,
British Virgin Islands,,,,,,,36.2,,,
Curacao,,,,,,,36,78.07560976,,
Cook Islands,,,,,,,35.9,,,
Anguilla,,,,,,,34.6,,,
Gibraltar,,,,,,,34.5,,,
Greenland,,,,,,,33.8,71.24634146,,
Turks and Caicos Islands,,,,,,,32.9,,,
Northern Mariana Islands,,,,,,,32.7,,,
Montserrat,,,,,,,32.6,,,
Saint Martin,,,,,,,32.3,,,
New Caledonia,,,,,,,31.7,77.24430351,,
Wallis and Futuna,,,,,,,31.6,,,
French Polynesia,,,,,,,31.5,76.787,,
Guam,,,,,,,30.4,79.144,,
Brunei,,,,,,,29.9,,,
American Samoa,,,,,,,29.4,,,
Kosovo,,,,,,,28.7,71.34634146,,5.589
Burma,,,,,,,28.6,,,
Cape Verde,,,,,,,24.9,,,
Western Sahara,,,,,,,21.1,,,
Palestinian Territories,,,,,,,19.2,,,4.715
East Timor,,,,,,,18.8,,,
São Tomé and Príncipe,,,,,,,18.2,,12.55,
World,,,,,,,30.1,71.94789833,,
Arab World,,,,,,,,71.24957141,,
Central Europe and the Baltics,,,,,,,,76.59107024,,
Channel Islands,,,,,,,,82.429,,
Caribbean small states,,,,,,,,73.27301598,,
East Asia & Pacific (excluding high income),,,,,,,,74.49622762,,
Early-demographic dividend,,,,,,,,69.74927422,,
East Asia & Pacific,,,,,,,,75.39255688,,
Europe & Central Asia (excluding high income),,,,,,,,72.71037286,,
Europe & Central Asia,,,,,,,,77.23880001,,
Euro area,,,,,,,,81.56932908,,
European Union,,,,,,,,80.62059281,,
Fragile and conflict affected situations,,,,,,,,62.45077645,,
"Gambia, The",,,,,,,,60.91,,
High income,,,,,,,,80.48961424,,
Heavily indebted poor countries (HIPC),,,,,,,,61.85295324,,
IBRD only,,,,,,,,72.69987577,,
IDA & IBRD total,,,,,,,,70.35702857,,
IDA total,,,,,,,,63.26317985,,
IDA blend,,,,,,,,61.37157717,,
IDA only,,,,,,,,64.23176212,,
Not classified,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,74.76044681,,
Latin America & Caribbean,,,,,,,,74.95969785,,
Least developed countries: UN classification,,,,,,,,63.94777696,,
Low income,,,,,,,,62.55473825,,
Lower middle income,,,,,,,,67.80471167,,
Low & middle income,,,,,,,,70.29377543,,
Late-demographic dividend,,,,,,,,75.47081634,,
"Macao SAR, China",,,,,,,,83.707,,
St. Martin (French part),,,,,,,,79.47073171,,
Middle East & North Africa,,,,,,,,73.51484485,,
Middle income,,,,,,,,71.21391513,,
North Macedonia,,,,,,,,75.406,22.43,
Middle East & North Africa (excluding high income),,,,,,,,73.00029612,,
North America,,,,,,,,79.01211102,,
OECD members,,,,,,,,79.93402595,,
Other small states,,,,,,,,67.40523612,,
Pre-demographic dividend,,,,,,,,59.51195893,,
West Bank and Gaza,,,,,,,,73.442,,
Pacific island small states,,,,,,,,69.44445877,,
Post-demographic dividend,,,,,,,,80.39489868,,
South Asia,,,,,,,,68.64190068,,
Sub-Saharan Africa (excluding high income),,,,,,,,59.95148447,,
Sub-Saharan Africa,,,,,,,,59.95283055,,
Small states,,,,,,,,68.61401082,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,74.53395213,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,73.15024724,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,74.8647344,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,72.99505261,,
South Asia (IDA & IBRD),,,,,,,,68.64190068,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,59.95283055,,
Upper middle income,,,,,,,,75.01752704,,
St. Vincent and the Grenadines,,,,,,,,72.095,,
North Cyprus,,,,,,,,,,5.695
Somaliland region,,,,,,,,,,5.057
Congo (Kinshasa),,,,,,,,,,4.517
Congo (Brazzaville),,,,,,,,,,3.989
